aaa,whois.nic.aaa
able,whois.nic.able
ac,whois.nic.ac
academy,whois.nic.academy
accountant,whois.nic.accountant
actor,whois.nic.actor
ad,whois.ripe.net
ae,whois.aeda.net.ae
aero,whois.aero
aetna,whois.nic.aetna
af,whois.nic.af
afl,whois.nic.afl
africa,whois.nic.africa
ag,whois.nic.ag
agency,whois.nic.agency
aig,whois.nic.aig
al,whois.ai
alstom,whois.nic.alstom
am,whois.amnic.net
americanexpress,whois.nic.americanexpress
amex,whois.nic.amex
amica,whois.nic.amica
amsterdam,whois.nic.amsterdam
analytics,whois.nic.analytics
anz,whois.nic.anz
aramco,whois.nic.aramco
archi,whois.nic.archi
arpa,whois.iana.org
art,whois.nic.art
as,whois.nic.as
asia,whois.nic.asia
associates,whois.nic.associates
at,whois.nic.at
athleta,whois.nic.athleta
au,whois.ausregistry.net
audible,whois.nic.audible
auspost,whois.nic.auspost
author,whois.nic.author
aw,whois.nic.aw
aws,whois.nic.aws
ax,whois.ax
axa,whois.nic.axa
az,whois.ripe.net
ba,whois.ripe.net
baby,whois.nic.baby
banamex,whois.nic.banamex
bananarepublic,whois.nic.bananarepublic
bar,whois.nic.bar
barclaycard,whois.nic.barclaycard
barclays,whois.nic.barclays
bargains,whois.nic.bargains
baseball,whois.nic.baseball
be,whois.dns.be
beats,whois.nic.beats
berlin,whois.nic.berlin
best,whois.nic.best
bg,whois.register.bg
bi,whois1.nic.bi
bible,whois.nic.bible
bid,whois.nic.bid
bike,whois.nic.bike
biz,whois.biz
black,whois.nic.black
blackfriday,whois.nic.blackfriday
blue,whois.nic.blue
bo,whois.nic.bo
bond,whois.nic.bond
book,whois.nic.book
booking,whois.nic.booking
bot,whois.nic.bot
boutique,whois.nic.boutique
box,whois.nic.box
br,whois.nic.br
brussels,whois.nic.brussels
build,whois.nic.build
builders,whois.nic.builders
buy,whois.nic.buy
buzz,whois.nic.buzz
by,whois.ripe.net
bz,bzwhois.verisign-grs.com
ca,whois.cira.ca
cab,whois.nic.cab
call,whois.nic.call
calvinklein,whois.nic.calvinklein
cam,whois.nic.cam
camera,whois.nic.camera
camp,whois.nic.camp
cancerresearch,whois.nic.cancerresearch
capetown,whois.nic.capetown
capital,whois.nic.capital
caravan,whois.nic.caravan
cards,whois.nic.cards
care,whois.nic.care
career,whois.nic.career
careers,whois.nic.careers
cartier,whois.nic.cartier
cash,whois.nic.cash
cat,whois.cat
catering,whois.nic.catering
catholic,whois.nic.catholic
cba,whois.nic.cba
cbn,whois.nic.cbn
cbre,whois.nic.cbre
cc,ccwhois.verisign-grs.com
center,whois.nic.center
ceo,whois.nic.ceo
cf,whois.dot.cf
ch,whois.nic.ch
chase,whois.nic.chase
cheap,whois.nic.cheap
chintai,whois.nic.chintai
christmas,whois.nic.christmas
circle,whois.nic.circle
cisco,whois.nic.cisco
citadel,whois.nic.citadel
citi,whois.nic.citi
citic,whois.nic.citic
ck,whois.ck-nic.org.ck
cl,whois.nic.cl
cleaning,whois.nic.cleaning
clinic,whois.nic.clinic
clothing,whois.nic.clothing
cloud,whois.nic.cloud
club,whois.nic.club
cn,whois.cnnic.net.cn
co,whois.nic.co
codes,whois.nic.codes
coffee,whois.nic.coffee
college,whois.nic.college
cologne,whois.nic.cologne
com,whois.verisign-grs.com
commbank,whois.nic.commbank
community,whois.nic.community
company,whois.nic.company
compare,whois.nic.compare
computer,whois.nic.computer
condos,whois.nic.condos
construction,whois.nic.construction
consulting,whois.nic.consulting
contractors,whois.nic.technology
cooking,whois.nic.cooking
cool,whois.nic.cool
coop,whois.nic.coop
country,whois.nic.country
coupon,whois.nic.coupon
courses,whois.nic.courses
cr,whois.nic.cr
creditcard,whois.nic.creditcard
cricket,whois.nic.cricket
cruise,whois.nic.cruise
cruises,whois.nic.cruises
cuisinella,whois.nic.cuisinella
cx,whois.nic.cx
cy,whois.ripe.net
cymru,whois.nic.cymru
